id,serial
730141,9212
730142,9225
730143,9188
730144,9231
730145,9235
730146,9236
730147,9210
730148,9250
730149,9253
730150,9267
730151,9280
730152,7353-1
730153,7367
730154,6981
730156,7298
730158,7310
730159,7320
730160,7320
730161,7320-1
730162,7342
730163,7011
730164,7012
730165,7024
730166,7034
730167,7035
730168,7036
730169,7051
730170,7054
730171,7056
730181,7128
730182,7130
730183,7136
730184,7145
730185,7151
730186,7165
730187,7166
730188,7174
730189,7175
730190,7196
730191,7204
730192,7210
730193,7218
730194,7223
730195,7224
730196,7225
730197,7238
730198,7381
730199,7391
730200,7393
730201,7394
730202,7403
730203,7404
730204,7415
730205,7423
730206,7428
730207,7439
730208,7449
730209,7451
730210,7452
730211,7461
730213,7466
730214,7500
730215,7506
730216,7507
730217,7515-1
730218,7533
730219,7549
730222,7566
730223,7573
730224,7591
730225,7597
730226,7605
730227,7611
730228,7613
730229,7619
730230,7630
730231,7706
730233,7756
730234,7757
730235,7782
730236,7805
730237,7810
730238,7829
730239,7829
730240,7849
730241,7850
730242,7852
730243,7855
730244,7855-1
730245,7866
730246,7871
730247,7878
730248,7882
730249,7891-1
730250,7911
730252,7922
730253,7926
730269,8401
730270,8412
730271,8415
730272,8416
730273,8431
730274,8498
730276,8505
730277,8519
730278,8519-1
730279,7498-2
730280,8538
730281,8552
730282,8553
730283,8588
730284,8593
730917,6452
730918,6468
730919,6476
730920,6508
730921,6511
730922,6512
730924,6611
730925,6654
730927,6680
730928,6686
730929,6721
730930,6723
730931,6725
730932,6726
730933,6742
730934,6748
730935,6749
730936,6753
730937,6754
730938,6766
730939,6778
730940,6781
730941,6783
730942,6799
730943,6819
730944,6820
730955,7998
730956,7998-1
730957,8055
730958,8060
730959,7891
730960,8085
730961,8094
730963,8138
730964,7805
730965,8187
730967,8274
730968,7278-1
730969,7267-1
730970,8313
730971,8334
730972,7829
730973,8361
730974,8390
730975,8604
730976,7498-3
730977,8669
730978,8725
730979,8748
730980,8749
730981,8750
730982,8757
730983,8767
730984,8783
730985,8790
730986,8831
730987,8871
730988,8920
730989,8920-1
730990,8925
730991,8930
730992,8945
730993,8950
730994,8962
730995,8962-1
730996,8982
730997,8964
730998,9009
730999,9051
731000,9058
731001,9061
731002,9062
731003,8964
731004,9063
731005,9079
731006,9090
731007,9094
731008,9096
731009,9098
731010,9123
731011,9123-1
731012,9125
731013,9125-1
731014,9126
731015,9128
731016,9128-1
731017,9132
731018,9143-1
731019,9144
731020,9058
731021,9058-2
731022,9058
731023,9148
731024,9153
731025,9100-1
731026,9101
731027,9158
731028,9159
731029,9165
731030,9168
731031,9178
